SpeedItem [upload=false, thread=0, time=3271892685, bytes=1434936]
SpeedItem [upload=false, thread=0, time=3285169337, bytes=1446690]
SpeedItem [upload=false, thread=0, time=3317080919, bytes=1468892]
SpeedItem [upload=false, thread=0, time=3327786571, bytes=1494834]
SpeedItem [upload=false, thread=0, time=3349742318, bytes=1500058]
SpeedItem [upload=false, thread=0, time=3360416873, bytes=1519648]
SpeedItem [upload=false, thread=0, time=3373412484, bytes=1523566]
SpeedItem [upload=false, thread=0, time=3389551067, bytes=1526178]
SpeedItem [upload=false, thread=0, time=3414078442, bytes=1532886]
SpeedItem [upload=false, thread=0, time=3431816455, bytes=1585126]
SpeedItem [upload=false, thread=0, time=3479086342, bytes=1595396]
SpeedItem [upload=false, thread=0, time=3492023607, bytes=1603232]
SpeedItem [upload=false, thread=0, time=3504097818, bytes=1616292]
SpeedItem [upload=false, thread=0, time=3516797117, bytes=1618904]
SpeedItem [upload=false, thread=0, time=3532508934, bytes=1624128]
SpeedItem [upload=false, thread=0, time=3544744496, bytes=1626740]
SpeedItem [upload=false, thread=0, time=3557170837, bytes=1629352]
SpeedItem [upload=false, thread=0, time=3582852073, bytes=1646508]
SpeedItem [upload=false, thread=0, time=3598338182, bytes=1689606]
SpeedItem [upload=false, thread=0, time=3624590376, bytes=1694652]
SpeedItem [upload=false, thread=0, time=3640083595, bytes=1700054]
SpeedItem [upload=false, thread=0, time=3654728946, bytes=1710502]
SpeedItem [upload=false, thread=0, time=3666461895, bytes=1718160]
SpeedItem [upload=false, thread=0, time=3677316241, bytes=1727302]
SpeedItem [upload=false, thread=0, time=3687404512, bytes=1728608]
SpeedItem [upload=false, thread=0, time=3704987187, bytes=1744280]
SpeedItem [upload=false, thread=0, time=3718043917, bytes=1770578]
SpeedItem [upload=false, thread=0, time=3729467882, bytes=1779542]
SpeedItem [upload=false, thread=0, time=3753281303, bytes=1797826]
SpeedItem [upload=false, thread=0, time=3766510578, bytes=1801922]
SpeedItem [upload=false, thread=0, time=3791083320, bytes=1820028]
SpeedItem [upload=false, thread=0, time=3803832244, bytes=1829170]
SpeedItem [upload=false, thread=0, time=3815638180, bytes=1848760]
SpeedItem [upload=false, thread=0, time=3826305698, bytes=1861998]
SpeedItem [upload=false, thread=0, time=3846918133, bytes=1885506]
SpeedItem [upload=false, thread=0, time=3868538544, bytes=1890730]
SpeedItem [upload=false, thread=0, time=3886136912, bytes=1901178]
SpeedItem [upload=false, thread=0, time=3908370036, bytes=1906224]
SpeedItem [upload=false, thread=0, time=3931432996, bytes=1931038]
SpeedItem [upload=false, thread=0, time=3945450576, bytes=1940180]
SpeedItem [upload=false, thread=0, time=3956511502, bytes=1946710]
SpeedItem [upload=false, thread=0, time=3966610471, bytes=1975442]
